TEXT,STAGE,STRANGE,GROUP,EMOTION,TRIGGER
"Я просто не понимаю, почему ты опять завел эту тему при твоих друзьях. Ты же знал, как мне это неприятно, но всё равно решил посмеяться над моими страхами. Мне теперь даже в глаза им смотреть не хочется.",Инцидент,Средняя,Грусть,Разочарование,Друзья
"Слушай, а давай на выходных просто отключим телефоны и уедем за город? Нам обоим нужно выдохнуть и просто побыть вдвоем, без всей этой суеты. Я очень по тебе соскучилась, по настоящему тебе.",Разрешение,Средняя,Позитив,Желание/Мотивация,Внимание
"Опять твои родственники решают, где мы будем отмечать праздник. Почему наше мнение всегда на втором плане, когда речь заходит о твоей семье? Я чувствую, что в этом браке нас не двое, а целый табор советчиков.",Предконфликтная,Средняя,Гнев,Неодобрение,Родня
"Ты такая красивая сегодня, я просто не могу оторвать глаз. Прости, что в последнее время редко это говорил, я просто закрутился на работе. Ты — лучшее, что случилось в моей жизни, и я это осознаю.",Разрешение,Высокая,Позитив,Любовь,Личность
"Я вижу, как ты смотришь на телефон каждый раз, когда он вибрирует. Ты стал таким скрытным, ставишь пароли, уходишь в другую комнату. Это убивает во мне всё доверие, я просто не знаю, как дальше с этим жить.",Эскалация,Высокая,Страх,Страх,Ревность
"Давай просто закажем пиццу и не будем спорить, кто сегодня готовит. У нас обоих был тяжелый день, и кухня — это последнее место, где я хочу сейчас оказаться. Главное, что мы дома и наконец-то можем просто посидеть рядом.",Разрешение,Низкая,Социальные,Одобрение,Быт
"Почему ты вечно меня перебиваешь, когда я пытаюсь рассказать что-то важное? Тебе кажется, что твои мысли всегда ценнее моих, и это просто унизительно. Я больше не хочу ничего обсуждать, раз тебе всё равно.",Инцидент,Средняя,Гнев,Раздражение,Личность
"Я так испугался за тебя, когда ты не брала трубку три часа. Столько мыслей дурацких в голову лезло, я уже не знал, что и думать. Слава богу, что ты в порядке, просто не делай так больше, пожалуйста.",Разрешение,Высокая,Позитив,Облегчение,Внимание
"Мне не нравится, как ты распоряжаешься нашими общими накоплениями без спроса. Это не твои личные деньги, а наши, и решения должны приниматься вместе. Я чувствую себя просто статистом в твоем финансовом планировании.",Предконфликтная,Низкая,Гнев,Неодобрение,Деньги
"Уходи, я не хочу тебя видеть, ты разрушил всё, что мы строили годами! Твоё вранье — это просто финиш, я больше ни единому твоему слову не поверю. Нам больше не о чем говорить, собирай вещи!",Пик,Высокая,Гнев,Злость,Ревность
"Я не знаю, как сказать... мне кажется, нам обоим стало скучно друг с другом. Мы просто существуем рядом, как соседи, и это пугает меня больше, чем любые скандалы. Может, нам стоит что-то изменить, пока не стало совсем поздно?",Предконфликтная,Средняя,Грусть,Обида,Личность
"Спасибо, что приготовил ужин, это было так вовремя и вкусно. Я действительно ценю, когда ты берешь на себя такие вещи без лишних просьб. С тобой я чувствую, что я не одна во всем этом бытовом круговороте.",Разрешение,Средняя,Позитив,Забота,Быт
"Ты опять пообещал детям, что пойдешь с ними в парк, и опять отменил всё в последний момент. Ты видишь их разочарованные лица? Ты не просто меня подводишь, ты им сердце разбиваешь своей необязательностью.",Эскалация,Высокая,Грусть,Разочарование,Дети
"Я просто хочу, чтобы ты меня обнял и сказал, что всё будет хорошо. У меня сегодня был ужасный день, и мне не нужны твои советы, мне нужно просто сочувствие. Пожалуйста, побудь со мной сейчас, мне это очень важно.",Инцидент,Средняя,Социальные,Эмпатия,Внимание
"Давай попробуем распределить бюджет так, чтобы у каждого были карманные деньги. Тогда мне не придется отчитываться за каждую покупку, а тебе — нервничать из-за расходов. Мне кажется, это честно и снимет кучу лишнего напряжения.",Разрешение,Низкая,Позитив,Оптимизм,Деньги
"Ты постоянно сравниваешь меня со своей матерью, и это просто невыносимо. Я — это я, и я не собираюсь готовить борщ по её рецепту или убираться так, как она. Прими меня такой, какая я есть, или живи с ней.",Эскалация,Высокая,Гнев,Раздражение,Родня
"Я так нервничаю перед этой встречей с твоим боссом, вдруг я скажу что-то не то? Мне очень важно произвести хорошее впечатление, ведь это важно для твоей карьеры. Просто держи меня за руку, мне так будет спокойнее.",Предконфликтная,Средняя,Страх,Напряжение/Нервозность,Контроль
"Прости, что я засомневалась в тебе, я просто очень боюсь тебя потерять. Твоя верность — это то, на чем держится мой мир, и иногда мои страхи берут верх над разумом. Я буду работать над собой, обещаю.",Разрешение,Средняя,Социальные,Раскаяние,Ревность
"Тебе всегда твои игры важнее, чем я, даже в постели ты не отрываешься от приставки. Я чувствую себя просто ненужной вещью, которая лежит рядом для мебели. Нам нужно серьезно поговорить о наших отношениях, потому что так дальше нельзя.",Инцидент,Средняя,Грусть,Обида,Секс
"Я сегодня поняла, что была слишком строга к тебе из-за того беспорядка. Ты ведь просто хотел отдохнуть после смены, и это нормально. Давай я помогу тебе, и мы быстро всё приберем вместе.",Разрешение,Низкая,Социальные,Осознание,Быт
"Ты опять сидишь в телефоне, пока я рассказываю, как прошел мой день. Мне кажется, я разговариваю с кирпичной стеной, и это уже становится нормой в нашем доме. Просто скажи, если тебе со мной скучно, я хотя бы буду знать правду.",Инцидент,Средняя,Грусть,Обида,Внимание
"С какой стати ты проверяешь мои расходы в приложении банка? Я взрослый человек и сама решаю, на что тратить свои заработанные деньги, это не твое дело. Твой тотальный контроль уже переходит все разумные границы, мне нечем дышать.",Эскалация,Высокая,Гнев,Злость,Контроль
"Знаешь, я тут подумал... ты была права насчет того отпуска, нам действительно нужно было сменить обстановку. Я зря упирался и спорил из-за бюджета, отдых того стоил. Спасибо, что настояла на своем, я чувствую себя намного лучше.",Разрешение,Низкая,Социальные,Осознание,Личность
"Опять твои друзья притащились без предупреждения, а у меня были планы на этот вечер. Я не обязана всех обслуживать и улыбаться, когда хочу просто полежать в тишине. Ты вообще учитываешь мои интересы или я просто часть интерьера?",Предконфликтная,Средняя,Гнев,Неодобрение,Друзья
"У меня сердце замирает каждый раз, когда ты начинаешь кричать на детей из-за какой-то ерунды. Они же маленькие, они тебя боятся, неужели ты этого не видишь? Пожалуйста, успокойся, ты сам на себя не похож в такие моменты.",Эскалация,Средняя,Страх,Напряжение/Нервозность,Дети
"Да мне плевать, что ты там себе напридумывал, я никуда не пойду в таком виде! Ты вечно критикуешь мою одежду, моих подруг, мою работу — да всё! Оставь меня в покое, я больше не хочу слушать твой бесконечный поток претензий!",Пик,Высокая,Гнев,Злость,Личность
"Мне так жаль, что я наговорил лишнего про твоих родителей, это было низко с моей стороны. Я просто вспылил из-за работы и сорвался на тебе, прости меня. Давай попробуем загладить это и пригласим их на обед в воскресенье?",Разрешение,Средняя,Социальные,Раскаяние,Родня
"Я чувствую, что между нами пропала какая-то искра, мы стали как соседи. Даже в постели всё стало каким-то механическим, без эмоций и нежности. Мне не хватает тебя прежнего, того, кто смотрел на меня с восхищением.",Инцидент,Средняя,Грусть,Разочарование,Секс
"Ты видела, сколько пришел счет за электричество в этом месяце? Если мы не начнем экономить, нам придется залезть в долги, а я этого очень не хочу. Давай как-то посерьезнее относиться к нашим тратам, это общая ответственность.",Предконфликтная,Низкая,Страх,Напряжение/Нервозность,Деньги
"Как же хорошо, что мы наконец-то просто поговорили без криков и обвинений. Я чувствую такую легкость, будто мы снова на одной волне и всё понимаем. Я люблю тебя, и я верю, что мы со всем справимся.",Разрешение,Высокая,Позитив,Облегчение,Личность
"Почему в раковине опять гора грязной посуды, хотя сегодня твоя очередь? Я весь день на ногах, прихожу домой и должна еще и за тобой убирать. Это просто свинство, у меня нет других слов, я просто в бешенстве.",Пик,Высокая,Гнев,Злость,Быт
"Мне кажется, ты слишком много времени уделяешь общению с тем коллегой в мессенджерах. Я не хочу показаться параноиком, но это выглядит странно, когда ты прячешь экран, если я подхожу. Это очень ранит моё доверие, правда.",Инцидент,Средняя,Страх,Страх,Ревность
"Спасибо, что поддержал меня перед своей мамой, это было очень важно. Я видела, как тебе было непросто, но ты выбрал меня, и это дорогого стоит. Я очень это ценю и постараюсь быть к ней мягче.",Разрешение,Средняя,Социальные,Признательность/Радость,Родня
"Опять ты просишь у меня деньги в долг, хотя прошлый раз еще не вернул. Мы же семья, но я не банк, мне тоже нужно на что-то рассчитывать. Давай обсудим твой подход к финансам, потому что это уже становится проблемой.",Предконфликтная,Средняя,Гнев,Неодобрение,Деньги
"Я просто не знаю, как еще до тебя достучаться, чтобы ты начал помогать мне с детьми. Я выжата как лимон, а ты приходишь и сразу ложишься на диван. Мне очень горько, что ты считаешь мои усилия чем-то само собой разумеющимся.",Эскалация,Средняя,Грусть,Горе/Грусть,Дети
"Прости, что я была такой колючей сегодня утром, просто не выспалась из-за работы. Ты ни в чем не виноват, и я зря на тебя набросилась из-за этой чашки. Давай вечером посмотрим какой-нибудь фильм вместе?",Разрешение,Низкая,Социальные,Эмпатия,Быт
"Ты опять пошел в бар с друзьями, хотя обещал, что мы сегодня сходим в кино. Для тебя твои пацаны всегда на первом месте, а я — так, подожду в сторонке. Я просто разочарована, в очередной раз убеждаюсь в твоих приоритетах.",Инцидент,Средняя,Грусть,Разочарование,Друзья
"Хватит меня допрашивать, почему я задержалась на десять минут! Я не в тюрьме и не обязана отчитываться за каждую секунду своего времени. Твое недоверие просто убивает всё желание возвращаться домой.",Эскалация,Высокая,Гнев,Раздражение,Контроль
"Мне так страшно, что мы можем расстаться из-за всех этих глупых ссор. Я не представляю свою жизнь без тебя, ты — мой мир, несмотря на все наши трудности. Пожалуйста, давай постараемся слышать друг друга чуть лучше.",Предконфликтная,Средняя,Страх,Страх,Личность
"Ты просто потрясающая в этой роли матери, я смотрю на тебя и восхищаюсь. Спасибо за твою заботу о нас и за то, какой уют ты создаешь в доме. Я очень тебя люблю и обещаю больше помогать тебе со всеми делами.",Разрешение,Высокая,Позитив,Любовь,Дети
"Почему ты никогда не спрашиваешь, чего хочу я, когда мы планируем выходные? Ты просто ставишь меня перед фактом: мы едем к твоим друзьям на дачу. Это эгоистично, и мне надоело быть просто твоей тенью.",Предконфликтная,Низкая,Гнев,Неодобрение,Внимание
"Я видел, как ты переписываешься с кем-то в три часа ночи, и это не похоже на работу. Хватит врать мне в лицо, я же вижу, как ты прячешь телефон под подушку. Если у тебя кто-то есть, просто скажи прямо, не делай из меня дурака!",Пик,Высокая,Гнев,Злость,Ревность
"Я сегодня поняла, что слишком много требовала от тебя в плане заработка. Ты и так делаешь всё возможное, и я ценю твое стремление обеспечить нашу семью. Давай просто будем экономнее, главное, что мы вместе.",Разрешение,Средняя,Социальные,Осознание,Деньги
"Ты опять критикуешь мою внешность, хотя знаешь, как я из-за этого комплексую. Тебе что, доставляет удовольствие делать мне больно и подрывать мою уверенность? Я чувствую себя просто никчемной рядом с тобой в такие моменты.",Инцидент,Средняя,Грусть,Обида,Личность
"Давай просто попробуем лечь спать пораньше и не будем сейчас выяснять отношения. Мы оба вымотаны, и этот разговор ни к чему хорошему не приведет, кроме новых обид. Я просто хочу тишины и твоего присутствия рядом.",Предконфликтная,Низкая,Нейтральные,Нейтральность,Внимание
"Это было так неожиданно — цветы без повода в обычный вторник! Ты заставил меня улыбнуться впервые за эту тяжелую неделю, спасибо тебе огромное. Я очень ценю такие моменты внимания, они значат для меня всё.",Разрешение,Средняя,Позитив,Признательность/Радость,Личность
"Твои постоянные придирки к тому, как я вожу машину, меня просто бесят! Если тебе так не нравится, садись сам за руль и не ной мне под ухо всю дорогу. У меня уже руки трясутся от твоего бесконечного контроля и советов.",Эскалация,Средняя,Гнев,Раздражение,Контроль
"Я боюсь, что наше финансовое положение станет причиной нашего разрыва. Мы постоянно ругаемся из-за каждой копейки, и это убивает всю романтику в отношениях. Мне страшно за наше будущее, я не вижу выхода из этого тупика.",Инцидент,Высокая,Страх,Страх,Деньги
"Прости за вчерашний скандал при твоих друзьях, я действительно переборщила. Мне не стоило выносить наш сор из избы, это было неправильно и глупо. Я надеюсь, ты сможешь меня простить, я очень дорожу твоим доверием.",Разрешение,Средняя,Социальные,Раскаяние,Друзья
"Опять ты не берешь трубку, когда я звоню узнать, во сколько ты будешь дома. Я же не для контроля звоню, а чтобы понять, когда ужин греть или когда детей укладывать. Твое игнорирование меня просто выводит из себя.",Предконфликтная,Низкая,Гнев,Раздражение,Быт
"Почему ты никогда не хочешь меня просто выслушать, не предлагая сразу десять способов решения проблемы? Мне нужно сочувствие, а не инструкция по применению, неужели это так сложно понять? Я чувствую, что мои чувства для тебя — просто задача, которую надо закрыть.",Инцидент,Средняя,Грусть,Обида,Личность
"Какого черта ты пригласила свою сестру пожить у нас неделю, даже не спросив меня?! Это наш общий дом, и я имею право голоса в таких вопросах, это просто неуважение. Я не собираюсь терпеть посторонних людей здесь без моего согласия!",Пик,Высокая,Гнев,Злость,Родня
"Я так рад, что мы смогли договориться о разделении домашних обязанностей. Теперь мне намного понятнее, что делать, и я не чувствую себя виноватым за то, что чего-то не заметил. Давай придерживаться этого плана, это действительно помогает.",Разрешение,Низкая,Позитив,Оптимизм,Быт
"У меня такое чувство, что ты меня совсем не хочешь в последнее время. Ты всегда находишь отговорки — то устал, то голова болит, то завтра рано вставать. Это заставляет меня чувствовать себя непривлекательной и отвергнутой.",Эскалация,Средняя,Грусть,Разочарование,Секс
"Знаешь, я сегодня понял, как много ты делаешь для наших детей, пока я на работе. Я видел, как ты терпеливо объясняла им уроки, и это меня тронуло до глубины души. Спасибо тебе за твое безграничное терпение и любовь к нашей семье.",Разрешение,Средняя,Социальные,Эмпатия,Дети
"Опять ты потратил деньги на какую-то ерунду, хотя мы копим на ремонт. Тебе вообще наплевать на наши общие цели, ты живешь только сегодняшним днем и своими хотелками. Я просто в отчаянии от твоей финансовой незрелости.",Инцидент,Средняя,Гнев,Неодобрение,Деньги
"Я так волнуюсь из-за того, что ты стал поздно возвращаться и пахнуть чужими духами. Не говори, что мне это кажется, я не сошла с ума и всё чувствую. Это ожидание признания в измене просто выматывает мне всю душу.",Эскалация,Высокая,Страх,Напряжение/Нервозность,Ревность
"Давай просто сегодня вечером закажем еду и не будем думать о грязной кухне. У нас был сумасшедший день, и мы заслужили просто отдых в обнимку перед телевизором. Главное, что мы рядом и всё остальное подождет.",Разрешение,Низкая,Позитив,Забота,Быт
"Твои друзья постоянно подшучивают надо мной, а ты сидишь и молчишь, будто так и надо. Мне неприятно это слышать, и мне вдвойне больнее, что ты меня не защищаешь. Ты вообще на чьей стороне в этой жизни?",Инцидент,Средняя,Гнев,Обида,Друзья
"Хватит лезть в мой телефон, я имею право на личную переписку! Твоя паранойя уже не знает границ, ты скоро будешь за мной в туалет ходить с проверкой. Оставь меня в покое, я не собираюсь перед тобой оправдываться за каждый лайк!",Пик,Высокая,Гнев,Злость,Контроль
"Я просто хочу, чтобы мы чаще проводили время без детей и обсуждения бытовых проблем. Давай хотя бы раз в неделю устраивать свидания, как в самом начале наших отношений. Я очень по тебе скучаю, по тому нам, которыми мы были.",Предконфликтная,Низкая,Позитив,Желание/Мотивация,Внимание
"Прости, что я забыл про твой корпоратив, я действительно зашился на проекте. Я чувствую себя ужасно из-за того, что подвел тебя и ты пошла одна. Обещаю исправиться и в следующие выходные отвезти тебя туда, куда ты захочешь.",Разрешение,Средняя,Социальные,Раскаяние,Личность
"Почему твоя мама считает нормальным приходить к нам без звонка и переставлять вещи в шкафу? Это мой дом, и я хочу чувствовать себя здесь хозяйкой, а не гостьей. Пожалуйста, установи границы, иначе я просто сменю замки!",Эскалация,Средняя,Гнев,Неодобрение,Родня
"Мне так страшно, что ты меня разлюбишь, если я не буду соответствовать твоим идеалам. Ты часто ставишь в пример других женщин, и это заставляет меня чувствовать себя неполноценной. Я просто хочу быть уверена, что ты любишь именно меня.",Инцидент,Средняя,Страх,Страх,Личность
"Какая же ты молодец, что смогла так спокойно разрешить конфликт с учителем нашего сына. Я бы точно сорвался, а ты проявила такую мудрость и такт, я горжусь тобой. Ты — сердце нашей семьи, и я очень тебя ценю.",Разрешение,Средняя,Социальные,Одобрение,Дети
"Опять ты не купил продукты по списку, который я тебе дала утром. Теперь мне придется самой идти в магазин после работы, хотя я планировала отдохнуть. Тебе вообще нельзя ничего поручить, ты вечно всё путаешь или забываешь.",Предконфликтная,Низкая,Гнев,Раздражение,Быт
"Я вижу, как ты холоден со мной в постели, и это разбивает мне сердце. Мы почти перестали заниматься сексом, и ты даже не хочешь это обсуждать, просто отворачиваешься. Мне кажется, я тебя больше не интересую как женщина, и это ужасно.",Инцидент,Средняя,Грусть,Горе/Грусть,Секс
"Да заткнись ты уже про свои деньги, я слышу это по сто раз на дню! Ты купил этот телевизор, а теперь попрекаешь меня каждой копейкой на еду. Забирай его себе и подавись, мне ничего от тебя не нужно, урод!",Пик,Высокая,Гнев,Злость,Деньги
"Я так рада, что мы наконец-то выбрали школу для дочери без слез и взаимных обвинений. Это большой шаг для нас, и я чувствую, что мы становимся мудрее как родители. Спасибо, что выслушал мои аргументы и поддержал меня.",Разрешение,Средняя,Позитив,Облегчение,Дети
"Мне не нравится, что ты постоянно обсуждаешь нашу личную жизнь со своими подругами. То, что происходит в этой спальне, должно оставаться только между нами, а не становиться достоянием общественности. Я чувствую себя преданным каждый раз, когда узнаю о твоих рассказах.",Предконфликтная,Средняя,Гнев,Неодобрение,Друзья
"Я чувствую, что мы тонем в бытовухе и совсем забыли, каково это — просто смеяться вместе. Давай сегодня вечером не будем обсуждать ремонт или школу, а просто вспомним наше первое свидание. Я так хочу снова почувствовать ту близость, которая у нас была.",Инцидент,Низкая,Позитив,Желание/Мотивация,Личность
"Прости за мою ревность, я знаю, что веду себя глупо и неоправданно. Просто ты такой замечательный, что мне всё время кажется, что кто-то может тебя увести. Я постараюсь больше доверять тебе и не устраивать сцен на пустом месте.",Разрешение,Средняя,Социальные,Раскаяние,Ревность
"Твоя манера контролировать каждый мой шаг меня просто убивает, я не могу даже за хлебом выйти без отчета. Ты постоянно звонишь, пишешь, спрашиваешь, с кем я и где — это не любовь, это тюрьма! Дай мне хоть немного личного пространства, если не хочешь, чтобы я сбежала.",Эскалация,Средняя,Гнев,Раздражение,Контроль
"Я так волновалась перед твоим выступлением, даже больше, чем ты сам. Но ты был просто на высоте, я знала, что у тебя всё получится! Поздравляю тебя с этим успехом, ты заслужил это как никто другой.",Разрешение,Средняя,Позитив,Признательность/Радость,Личность
"Опять ты пригласила своих родственников на праздники, даже не посоветовавшись со мной. Я хотел провести это время в тишине и покое, а теперь у нас будет полный дом людей. Ты никогда не думаешь о моем комфорте, только о том, что скажут другие.",Предконфликтная,Низкая,Гнев,Неодобрение,Родня
